192,193,194,194,132,194,131,195,132,132,195,194,195,135,195,134,195,195,194,162,128,130,160,195,195,195,195,133,195,196
208,209,147,210,211,210,211,211,211,211,148,210,211,151,147,211,211,211,210,178,212,214,176,211,211,211,211,149,211,228
224,54,32,32,32,32,32,32,16,39,16,16,16,32,32,32,0,1,2,3,197,214,19,35,19,19,19,19,35,228
224,0,0,0,1,0,48,48,32,16,32,32,32,0,1,2,3,3,3,19,232,233,35,51,35,87,35,35,51,212
224,1,0,1,0,51,1,2,48,32,48,0,82,2,3,3,3,19,19,35,248,249,51,51,116,51,51,51,50,212
224,0,1,0,53,0,68,85,81,68,71,70,3,3,19,117,19,35,66,80,51,70,51,16,32,116,49,50,51,212
224,0,1,1,16,65,16,115,0,0,0,0,0,19,35,35,35,103,51,48,0,128,129,129,130,48,49,50,99,212
224,0,0,1,0,1,81,82,0,1,1,1,0,216,217,51,51,49,50,0,16,213,0,1,146,50,51,51,51,212
224,0,0,1,0,0,0,16,0,1,0,0,32,232,233,0,0,0,1,3,32,212,4,0,146,51,81,3,0,212
224,0,0,0,16,84,16,81,16,34,0,0,0,248,249,16,0,54,1,1,0,212,1,0,146,51,2,3,0,228
224,32,0,32,32,71,16,16,32,34,1,0,1,32,0,1,0,1,0,1,0,160,161,161,162,3,2,3,0,228
224,48,54,48,48,65,48,101,71,48,0,1,6,0,0,1,1,1,1,0,16,176,177,177,178,2,3,96,0,228
208,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,48,48,48,48,32,32,16,0,1,2,3,81,0,228
224,0,23,0,0,103,0,0,70,0,1,0,0,216,201,201,201,201,217,51,48,48,0,82,2,3,3,3,0,212
208,16,1,1,114,0,0,0,0,0,1,0,0,212,0,53,0,1,214,3,51,114,0,1,2,86,64,3,0,212
224,32,1,0,0,0,69,0,1,0,0,1,1,232,131,132,134,161,233,3,80,1,119,82,0,1,2,3,0,212
208,0,48,32,0,1,16,0,1,0,1,0,3,248,149,177,177,177,249,0,0,0,64,0,85,87,3,3,0,228
224,0,0,81,68,0,0,1,0,0,87,69,3,112,85,35,51,0,16,84,113,0,1,52,98,3,3,19,0,228
224,51,0,49,50,51,97,32,32,0,0,1,2,3,35,66,18,1,0,1,1,1,2,3,3,19,19,35,0,228
240,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,242,242,242,241,241,241,241,241,241,241,241,244
